Date,Open,High,Low,Close,Adj Close,Volume
02-08-2016,43.23,43.630001,42.5,42.990002,37.745483,20089100
03-08-2016,42.93,43.939999,42.860001,43.889999,38.535679,14708300
04-08-2016,43.740002,44.040001,43.66,43.84,38.491776,11747900
05-08-2016,44.630001,45.73,44.509998,45.720001,40.142441,28566800
08-08-2016,45.830002,46.16,45.48,45.959999,40.353153,16861600
09-08-2016,45.950001,46.110001,45.669998,45.900002,40.300476,12203800
10-08-2016,45.799999,45.900002,45.389999,45.450001,39.905373,16566700
11-08-2016,45.509998,45.91,45.290001,45.73,40.151211,14819400
12-08-2016,45.41,45.599998,45.220001,45.580002,40.019512,12472900
15-08-2016,45.82,46.5,45.82,46.389999,40.730698,12252700
16-08-2016,46.25,46.790001,46.139999,46.619999,40.932632,15202100
17-08-2016,46.509998,46.799999,46.380001,46.630001,40.941418,17899300
18-08-2016,46.57,46.700001,46.209999,46.5,40.827274,14190300
19-08-2016,46.34,46.59,46.02,46.529999,40.853626,12207600
22-08-2016,46.419998,46.75,46.25,46.66,40.967758,11007500
23-08-2016,46.900002,47.060001,46.59,46.59,40.906303,13345500
24-08-2016,46.630001,47.119999,46.540001,46.66,40.967758,16054400
25-08-2016,46.509998,46.82,46.470001,46.720001,41.020447,16520200
26-08-2016,46.830002,47.240002,46.700001,47.110001,41.362869,23338500
29-08-2016,47.189999,47.689999,47.110001,47.259998,41.494568,16700000
30-08-2016,47.259998,47.93,47.220001,47.900002,42.056488,17519800
31-08-2016,47.959999,48.18,47.25,47.740002,41.916008,20826600
01-09-2016,47.82,48.029999,46.759998,47.360001,41.582367,19403900
02-09-2016,47.5,47.709999,47.009998,47.509998,41.714062,16293000
06-09-2016,47.509998,47.650002,46.650002,47.290001,41.520908,17649500
07-09-2016,47,47.639999,46.860001,47.48,41.687729,13610600
08-09-2016,47.459999,48.07,47.32,47.790001,41.959908,15856400
09-09-2016,47.900002,48.169998,47.169998,47.169998,41.415535,20468100
12-09-2016,46.639999,47.869999,46.330002,47.790001,41.959908,22074800
13-09-2016,46.900002,47.290001,46.610001,46.919998,41.196041,19885000
14-09-2016,46.889999,47.439999,46.68,46.75,41.046787,19778400
15-09-2016,46.75,47.32,46.59,47.080002,41.336525,14133200
16-09-2016,46.599998,46.790001,46.240002,46.41,40.748253,24820800
19-09-2016,46.619999,47.240002,46.509998,46.59,40.906303,12759700
20-09-2016,47.040001,47.189999,46.450001,46.540001,40.862396,13749400
21-09-2016,47,47.279999,46.290001,46.900002,41.178482,16605200
22-09-2016,46.990002,47.299999,46.75,47.110001,41.362869,16247600
23-09-2016,47.02,47.459999,46.84,47.150002,41.397991,14793500
26-09-2016,46.509998,46.630001,45.830002,45.889999,40.291698,22646700
27-09-2016,45.52,46.48,45.16,46.369999,40.713131,16165700
28-09-2016,46.580002,46.91,46.099998,46.869999,41.152145,15871600
29-09-2016,46.799999,47.400002,45.41,45.799999,40.212673,28066800
30-09-2016,46.330002,47.5,46.060001,47.23,41.468224,25563100
03-10-2016,47.02,47.259998,46.779999,47.029999,41.292618,13819800
04-10-2016,47.099998,48.43,47.080002,47.75,41.924786,25542000
05-10-2016,48.009998,48.880001,48.009998,48.650002,42.714989,18173400
06-10-2016,48.830002,49.09,48.369999,49.07,43.083763,15721000
07-10-2016,49,49.41,48.68,49.279999,43.268139,16584000
10-10-2016,49.459999,49.959999,49.369999,49.549999,43.505188,14022700
11-10-2016,49.279999,49.650002,48.689999,48.990002,43.013519,16033300
12-10-2016,48.970001,49.220001,48.66,48.700001,42.758896,14407300
13-10-2016,47.919998,48.68,47.540001,48.470001,42.556957,22302200
14-10-2016,49.599998,49.950001,48.389999,48.610001,42.679886,28291800
17-10-2016,48.59,49.139999,48.41,48.599998,42.671097,16655000
18-10-2016,49.18,49.290001,48.810001,48.990002,43.013519,18159900
19-10-2016,49.110001,49.709999,49.029999,49.48,43.443737,14663600
20-10-2016,49.459999,49.900002,49.209999,49.580002,43.53154,13522600
21-10-2016,49.07,49.630001,48.98,49.57,43.522758,12728600
24-10-2016,49.82,49.880001,49.52,49.580002,43.53154,10753500
25-10-2016,49.490002,49.810001,49.299999,49.59,43.540325,9790500
26-10-2016,49.27,50.060001,49.209999,50.009998,43.909073,13960000
27-10-2016,50.32,50.599998,49.900002,49.93,43.838852,19181400
28-10-2016,49.98,50.119999,48.950001,49.560001,43.513985,17780300
